               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078828,            0.055682,            0.039489,              0.6511,              0.2971,             0.33303,             0.19498,            0.063005,            0.073017,            0.025142,            0.070014,           0.0033318,           0.0033318
                   1,            0.069647,            0.051065,            0.028309,             0.55254,              0.3428,             0.37185,             0.22258,            0.060902,            0.073348,            0.025558,            0.039882,           0.0065332,           0.0065332
                   2,            0.068102,            0.051049,            0.026494,             0.54488,             0.34692,             0.36627,             0.21533,            0.060934,            0.071788,            0.030721,            0.009618,           0.0096025,           0.0096025
                   3,            0.066531,            0.050852,            0.025673,             0.55105,             0.36785,              0.3733,             0.22503,            0.059523,            0.071162,            0.030811,            0.009406,            0.009406,            0.009406
                   4,            0.065002,            0.049551,            0.024429,             0.57362,             0.36863,             0.39519,             0.24308,            0.058867,            0.071734,            0.030178,            0.009406,            0.009406,            0.009406
                   5,            0.064193,            0.049233,            0.023785,             0.57973,             0.38133,             0.40224,             0.24835,            0.058118,            0.069357,            0.032134,            0.009208,            0.009208,            0.009208
                   6,            0.063544,             0.04901,            0.023236,             0.59295,             0.38546,             0.41063,             0.25546,            0.057572,            0.069673,            0.031215,             0.00901,             0.00901,             0.00901
                   7,            0.062982,            0.048097,             0.02278,             0.61068,             0.39377,             0.42186,             0.26354,            0.057116,            0.068807,            0.031932,            0.008812,            0.008812,            0.008812
                   8,            0.062627,            0.048061,            0.022535,             0.60574,             0.40037,             0.42396,             0.26535,            0.056732,            0.068583,             0.03272,            0.008614,            0.008614,            0.008614
                   9,            0.062168,            0.047456,            0.022224,             0.61256,             0.40338,             0.42983,             0.27029,            0.056381,            0.068281,            0.032928,            0.008416,            0.008416,            0.008416
                  10,            0.062009,            0.047205,             0.02203,             0.59859,             0.40849,             0.43017,             0.27163,            0.056198,            0.067813,            0.033007,            0.008218,            0.008218,            0.008218
                  11,            0.061733,            0.047067,            0.021761,             0.61418,             0.40398,             0.43535,             0.27579,            0.055966,             0.06767,            0.034408,             0.00802,             0.00802,             0.00802
                  12,            0.061474,            0.047134,            0.021519,             0.60717,              0.4146,             0.43583,             0.27702,            0.055764,            0.067765,            0.034608,            0.007822,            0.007822,            0.007822
                  13,            0.061188,            0.046732,            0.021322,             0.61876,             0.40966,             0.43803,             0.27897,            0.055596,            0.067247,            0.034865,            0.007624,            0.007624,            0.007624
                  14,            0.060984,            0.046325,            0.021163,             0.61022,             0.41765,             0.44195,             0.28184,            0.055377,            0.067075,            0.034492,            0.007426,            0.007426,            0.007426
                  15,            0.061028,            0.046103,            0.021119,              0.6202,              0.4187,               0.444,             0.28351,            0.055226,            0.067242,             0.03429,            0.007228,            0.007228,            0.007228
                  16,            0.060725,            0.046109,            0.020873,             0.62113,             0.42039,             0.44944,             0.28753,            0.055033,            0.066809,             0.03476,             0.00703,             0.00703,             0.00703
                  17,            0.060677,            0.046257,            0.020759,             0.62342,             0.42053,              0.4482,             0.28672,            0.054979,            0.067029,            0.034898,            0.006832,            0.006832,            0.006832
                  18,            0.060201,            0.045117,            0.020511,             0.62052,             0.42543,              0.4505,             0.28876,            0.054916,            0.066982,            0.035027,            0.006634,            0.006634,            0.006634
                  19,            0.060205,            0.045692,            0.020427,               0.623,             0.42689,              0.4547,             0.29234,            0.054815,            0.066914,            0.035162,            0.006436,            0.006436,            0.006436
                  20,            0.060059,            0.045328,            0.020384,             0.62775,             0.42484,             0.45723,             0.29386,             0.05471,            0.066846,            0.035193,            0.006238,            0.006238,            0.006238
                  21,            0.059883,             0.04496,            0.020185,             0.62535,             0.42957,             0.45871,             0.29453,             0.05463,            0.066831,            0.035362,             0.00604,             0.00604,             0.00604
                  22,            0.059704,            0.044922,            0.020063,             0.61973,              0.4319,             0.45817,             0.29434,            0.054553,            0.066694,            0.035844,            0.005842,            0.005842,            0.005842
                  23,            0.059505,             0.04456,            0.019933,             0.62621,             0.43188,             0.45892,             0.29452,            0.054504,            0.066719,             0.03581,            0.005644,            0.005644,            0.005644
                  24,             0.05953,            0.044595,            0.019854,              0.6265,             0.43316,             0.45859,             0.29475,            0.054452,            0.066733,            0.035886,            0.005446,            0.005446,            0.005446
                  25,             0.05925,            0.044356,            0.019659,             0.62785,              0.4333,             0.45888,              0.2951,            0.054411,            0.066704,            0.036014,            0.005248,            0.005248,            0.005248
                  26,            0.059171,            0.044432,            0.019529,             0.62471,             0.43493,             0.45959,             0.29589,            0.054359,            0.066725,            0.036029,             0.00505,             0.00505,             0.00505
                  27,            0.059209,            0.044395,            0.019545,             0.62666,             0.43364,             0.46076,             0.29675,            0.054327,            0.066739,            0.036092,            0.004852,            0.004852,            0.004852
                  28,            0.058798,            0.043959,            0.019309,             0.62333,             0.43462,             0.46109,             0.29702,            0.054289,            0.066737,            0.036191,            0.004654,            0.004654,            0.004654
                  29,            0.058693,            0.043921,            0.019253,             0.62487,             0.43497,             0.46217,             0.29767,            0.054263,             0.06674,            0.036182,            0.004456,            0.004456,            0.004456
                  30,            0.058626,            0.043773,            0.019057,             0.61991,             0.43685,             0.46246,             0.29796,            0.054231,            0.066733,            0.036289,            0.004258,            0.004258,            0.004258
                  31,            0.058345,            0.043345,            0.018962,             0.61663,             0.43979,             0.46254,             0.29824,            0.054203,            0.066724,            0.036357,             0.00406,             0.00406,             0.00406
                  32,            0.058359,            0.043634,            0.018902,             0.61719,             0.43852,             0.46253,             0.29851,            0.054181,            0.066711,            0.036444,            0.003862,            0.003862,            0.003862
                  33,             0.05818,            0.043176,            0.018713,             0.61899,             0.43883,              0.4632,             0.29894,            0.054159,            0.066718,            0.036496,            0.003664,            0.003664,            0.003664
                  34,            0.058043,            0.042946,              0.0187,             0.61982,             0.43972,             0.46399,             0.29937,            0.054142,            0.066743,            0.036497,            0.003466,            0.003466,            0.003466
                  35,            0.057877,            0.042903,            0.018486,             0.61804,             0.44126,             0.46408,             0.29979,            0.054126,            0.066739,            0.036567,            0.003268,            0.003268,            0.003268
                  36,            0.057807,            0.042761,             0.01842,             0.62406,              0.4392,             0.46465,             0.30001,            0.054114,            0.066736,            0.036607,             0.00307,             0.00307,             0.00307
                  37,            0.057474,            0.042404,            0.018248,             0.62274,             0.43896,             0.46483,             0.30022,            0.054102,            0.066735,            0.036679,            0.002872,            0.002872,            0.002872
                  38,             0.05747,             0.04228,            0.018134,             0.62171,             0.44138,             0.46513,             0.30047,            0.054088,            0.066731,            0.036739,            0.002674,            0.002674,            0.002674
                  39,             0.05726,            0.042161,            0.018005,             0.61997,             0.44217,             0.46578,             0.30097,            0.054077,            0.066738,            0.036788,            0.002476,            0.002476,            0.002476
                  40,            0.057114,            0.042158,            0.017876,              0.6237,             0.44179,             0.46627,             0.30135,            0.054063,             0.06674,            0.036842,            0.002278,            0.002278,            0.002278
