epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,792.205,1.21509,1.11953,1.06627,0.53458,0.35653,0.36853,0.23835,1.34099,1.1292,1.02135,0.00333256,0.00333256,0.0700069
2,1553.43,1.22968,0.95395,1.06643,0.52766,0.34678,0.35423,0.22416,1.3745,1.18995,1.0318,0.00653391,0.00653391,0.039875
3,2220.43,1.29806,1.02376,1.10483,0.54856,0.32778,0.3578,0.22271,1.43445,1.21509,1.07389,0.00960326,0.00960326,0.00961098
4,2830.06,1.3247,1.04589,1.121,0.55382,0.34237,0.37046,0.23495,1.40809,1.20188,1.05968,0.009406,0.009406,0.009406
5,3421.31,1.28616,0.98401,1.1042,0.5825,0.35799,0.39056,0.25108,1.37551,1.16299,1.04757,0.009208,0.009208,0.009208
6,4015.06,1.25477,0.9374,1.08873,0.57971,0.37573,0.40897,0.2614,1.34447,1.15686,1.03207,0.00901,0.00901,0.00901
7,4611.69,1.23426,0.90528,1.07787,0.59916,0.37717,0.41882,0.27116,1.32996,1.13039,1.0277,0.008812,0.008812,0.008812
8,5207.25,1.22065,0.88425,1.07051,0.58655,0.38495,0.41981,0.27371,1.3206,1.11248,1.02114,0.008614,0.008614,0.008614
9,5803.17,1.20515,0.85728,1.06212,0.60896,0.39379,0.43037,0.2818,1.30592,1.11181,1.01413,0.008416,0.008416,0.008416
10,6400.55,1.19315,0.84645,1.05478,0.60057,0.39404,0.43399,0.28576,1.29452,1.10678,1.00888,0.008218,0.008218,0.008218
11,6997.23,1.18356,0.83301,1.052,0.60068,0.40107,0.43551,0.28743,1.28812,1.11135,1.00793,0.00802,0.00802,0.00802
12,7596.06,1.17358,0.81804,1.04568,0.61592,0.40623,0.44426,0.2929,1.28071,1.10509,1.00152,0.007822,0.007822,0.007822
13,8196.62,1.16355,0.80676,1.04251,0.60922,0.40958,0.45245,0.29985,1.27369,1.11408,1.00133,0.007624,0.007624,0.007624
14,8796.53,1.15501,0.79415,1.03714,0.6296,0.40971,0.45398,0.30127,1.26847,1.0972,0.99734,0.007426,0.007426,0.007426
15,9397.03,1.14824,0.78355,1.03387,0.61759,0.42128,0.458,0.30374,1.26515,1.10876,0.99563,0.007228,0.007228,0.007228
16,9998.45,1.14319,0.77917,1.03212,0.61607,0.42047,0.45583,0.30308,1.25931,1.08567,0.99377,0.00703,0.00703,0.00703
17,10599.5,1.13447,0.76593,1.02769,0.62975,0.42018,0.46049,0.30651,1.25741,1.09583,0.99339,0.006832,0.006832,0.006832
18,11201.8,1.13005,0.75815,1.02404,0.61329,0.42813,0.46223,0.308,1.25308,1.09239,0.9915,0.006634,0.006634,0.006634
19,11805.8,1.12523,0.74983,1.02452,0.62638,0.42634,0.4657,0.31022,1.24927,1.08395,0.99018,0.006436,0.006436,0.006436
20,12408.8,1.11744,0.74387,1.01975,0.62216,0.4306,0.46885,0.3124,1.24632,1.08695,0.98774,0.006238,0.006238,0.006238
21,13194.8,1.11372,0.73798,1.01734,0.63437,0.42763,0.47124,0.31418,1.2447,1.08886,0.98677,0.00604,0.00604,0.00604
22,14009.2,1.10865,0.73001,1.01344,0.62639,0.43151,0.47108,0.31457,1.24371,1.09027,0.98558,0.005842,0.005842,0.005842
23,778.546,1.09758,0.71673,1.0109,0.629,0.43277,0.47293,0.31647,1.24175,1.09051,0.98483,0.005644,0.005644,0.005644
24,1493.27,1.102,0.71719,1.01082,0.63032,0.43445,0.47437,0.31724,1.24049,1.09101,0.98428,0.005446,0.005446,0.005446
25,2206.76,1.09149,0.7112,1.00778,0.63605,0.43274,0.47534,0.31761,1.23973,1.09202,0.98415,0.005248,0.005248,0.005248
26,2917.84,1.08778,0.70502,1.00453,0.6339,0.43504,0.47681,0.31858,1.23888,1.09059,0.98375,0.00505,0.00505,0.00505
27,3630.93,1.08471,0.70135,1.00354,0.63637,0.43614,0.47779,0.31904,1.23799,1.09164,0.98344,0.004852,0.004852,0.004852
28,4347.14,1.07914,0.69457,1.00023,0.64184,0.43562,0.47859,0.31987,1.23711,1.09143,0.98302,0.004654,0.004654,0.004654
29,5066.2,1.07496,0.68839,0.99806,0.64289,0.43622,0.47949,0.32052,1.23655,1.09151,0.98288,0.004456,0.004456,0.004456
30,5776.69,1.07355,0.68312,0.99731,0.64101,0.43813,0.48044,0.32107,1.23612,1.09063,0.98254,0.004258,0.004258,0.004258
31,6492.8,1.06665,0.67237,0.99363,0.63966,0.43958,0.48076,0.32138,1.23556,1.09123,0.98216,0.00406,0.00406,0.00406
32,7200.12,1.06206,0.67053,0.99052,0.64151,0.43944,0.48125,0.32176,1.23521,1.09154,0.98205,0.003862,0.003862,0.003862
33,7909.1,1.05911,0.66631,0.98975,0.64191,0.43958,0.48185,0.32216,1.23489,1.09167,0.98188,0.003664,0.003664,0.003664
34,8613.59,1.05462,0.65949,0.98767,0.64529,0.43927,0.48251,0.32254,1.23434,1.09146,0.98173,0.003466,0.003466,0.003466
35,9320,1.04622,0.65241,0.98534,0.64416,0.44154,0.48301,0.32304,1.2341,1.09211,0.9815,0.003268,0.003268,0.003268
36,10026.7,1.04172,0.64615,0.9814,0.6438,0.44202,0.48367,0.32357,1.23385,1.09241,0.98129,0.00307,0.00307,0.00307
37,10734.6,1.03613,0.63968,0.9797,0.64335,0.44241,0.48407,0.32404,1.23351,1.09286,0.98109,0.002872,0.002872,0.002872
38,11438,1.03364,0.63566,0.97789,0.64341,0.44327,0.48481,0.32443,1.23329,1.09326,0.98075,0.002674,0.002674,0.002674
39,12140,1.0243,0.62592,0.97397,0.64187,0.44474,0.48573,0.32489,1.23294,1.09307,0.98041,0.002476,0.002476,0.002476
40,12841.9,1.02118,0.61975,0.97066,0.64175,0.44606,0.48606,0.32522,1.23269,1.09316,0.98017,0.002278,0.002278,0.002278
41,13571.1,1.05073,0.61832,0.97106,0.64391,0.44522,0.48637,0.32552,1.23258,1.09295,0.97985,0.00208,0.00208,0.00208
42,14273.9,1.04254,0.61026,0.96841,0.64434,0.44562,0.48678,0.32558,1.23232,1.09309,0.97942,0.001882,0.001882,0.001882
43,14980.4,1.03539,0.60271,0.96572,0.64669,0.44596,0.48723,0.32594,1.23205,1.09351,0.97911,0.001684,0.001684,0.001684
44,15688.5,1.03022,0.59618,0.96455,0.64946,0.44634,0.48742,0.32632,1.23188,1.09408,0.97897,0.001486,0.001486,0.001486
45,16397.4,1.02442,0.58998,0.96091,0.64757,0.44751,0.48818,0.32679,1.23171,1.09441,0.97882,0.001288,0.001288,0.001288
46,17103.4,1.01676,0.58228,0.95864,0.64567,0.44865,0.48846,0.32709,1.23166,1.09493,0.97862,0.00109,0.00109,0.00109
47,17807.7,1.01134,0.57689,0.95535,0.64583,0.44846,0.48884,0.32744,1.23164,1.09577,0.97842,0.000892,0.000892,0.000892
48,18513.9,1.00607,0.56964,0.95317,0.64479,0.44965,0.48927,0.32746,1.23168,1.09626,0.97818,0.000694,0.000694,0.000694
49,19222.4,0.9983,0.56169,0.95101,0.64511,0.44962,0.48949,0.32758,1.23177,1.097,0.97813,0.000496,0.000496,0.000496
50,19927.5,0.99407,0.55768,0.94873,0.64519,0.45035,0.48946,0.32767,1.23188,1.09781,0.97806,0.000298,0.000298,0.000298
