epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,252.755,1.49372,1.86304,1.14429,0.49723,0.24864,0.2592,0.16263,1.56935,1.48946,1.06567,0.00333179,0.00333179,0.0700139
2,600.213,1.4686,1.35549,1.1362,0.51741,0.25911,0.26958,0.16368,1.61202,1.46838,1.09312,0.00653315,0.00653315,0.0398819
3,1048.87,1.49588,1.32915,1.15583,0.47894,0.25805,0.27009,0.16035,1.66007,1.47172,1.12135,0.00960252,0.00960252,0.00961795
4,1481.06,1.5031,1.29298,1.16278,0.48787,0.26153,0.2785,0.17019,1.60008,1.39452,1.08722,0.009406,0.009406,0.009406
5,1946.5,1.46119,1.21597,1.14471,0.49794,0.28864,0.3069,0.19076,1.55431,1.34298,1.07362,0.009208,0.009208,0.009208
6,2415.07,1.42817,1.15981,1.1272,0.52124,0.2977,0.31835,0.19853,1.52662,1.3262,1.06749,0.00901,0.00901,0.00901
7,2868.57,1.4102,1.12517,1.11885,0.53398,0.29821,0.32549,0.20388,1.50142,1.26925,1.05382,0.008812,0.008812,0.008812
8,3306.66,1.3914,1.09824,1.10981,0.52862,0.31201,0.33311,0.20935,1.49104,1.26143,1.04729,0.008614,0.008614,0.008614
9,3743.68,1.37534,1.07499,1.10209,0.53098,0.31872,0.33937,0.21239,1.4726,1.23668,1.04039,0.008416,0.008416,0.008416
10,4180.13,1.36171,1.05735,1.09846,0.53975,0.31813,0.33933,0.21524,1.45979,1.23248,1.03531,0.008218,0.008218,0.008218
11,4633.22,1.35437,1.0458,1.09361,0.54459,0.31815,0.34468,0.21888,1.44762,1.22101,1.02552,0.00802,0.00802,0.00802
12,5097.16,1.34564,1.03131,1.08973,0.56099,0.32532,0.35948,0.22881,1.44389,1.19778,1.02807,0.007822,0.007822,0.007822
13,5527.61,1.34115,1.01829,1.08556,0.54627,0.33047,0.35478,0.22594,1.43696,1.21435,1.02432,0.007624,0.007624,0.007624
14,5958.5,1.33032,1.00708,1.08019,0.56029,0.33051,0.36215,0.23174,1.42834,1.1949,1.01922,0.007426,0.007426,0.007426
15,6388.23,1.32724,0.99972,1.07943,0.55678,0.33281,0.36305,0.23248,1.42176,1.18693,1.01725,0.007228,0.007228,0.007228
16,6820,1.32442,0.99534,1.07759,0.55591,0.33696,0.36419,0.23377,1.42021,1.18787,1.0162,0.00703,0.00703,0.00703
17,7250.59,1.3146,0.98002,1.07295,0.55281,0.34194,0.37055,0.23755,1.41657,1.1808,1.01457,0.006832,0.006832,0.006832
18,7682.16,1.31004,0.9775,1.07162,0.55384,0.34107,0.36945,0.23731,1.41204,1.17957,1.01239,0.006634,0.006634,0.006634
19,8112.21,1.30732,0.96857,1.06868,0.56136,0.3425,0.37141,0.2392,1.4068,1.17324,1.0099,0.006436,0.006436,0.006436
20,8542.4,1.30449,0.96409,1.06617,0.56754,0.34478,0.37204,0.23975,1.40532,1.17758,1.00893,0.006238,0.006238,0.006238
21,8972.07,1.29549,0.95593,1.06457,0.56481,0.34783,0.37599,0.24227,1.40335,1.17074,1.00819,0.00604,0.00604,0.00604
22,9402.15,1.29229,0.94929,1.06169,0.57066,0.34576,0.37743,0.24262,1.40024,1.17047,1.00712,0.005842,0.005842,0.005842
23,9831.99,1.28885,0.9463,1.06128,0.56083,0.35096,0.37757,0.2432,1.39717,1.17055,1.00609,0.005644,0.005644,0.005644
24,10262.9,1.28251,0.93761,1.05771,0.56383,0.35181,0.37933,0.24503,1.39529,1.16926,1.00517,0.005446,0.005446,0.005446
