               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085889,             0.05632,            0.042542,             0.50718,             0.27691,             0.27264,              0.1494,            0.071426,            0.076273,            0.024444,            0.070014,           0.0033318,           0.0033318
                   1,            0.075698,            0.053703,            0.031146,             0.60248,             0.32561,             0.35112,             0.19397,            0.068381,             0.07514,             0.01851,            0.039882,           0.0065332,           0.0065332
                   2,            0.073755,             0.05345,            0.029113,             0.54037,             0.35076,             0.36456,             0.20238,             0.06824,            0.076306,            0.019016,            0.009618,           0.0096025,           0.0096025
                   3,            0.072022,            0.053119,            0.027921,              0.5916,             0.37394,             0.40045,             0.22466,            0.066259,            0.074917,            0.016606,            0.009406,            0.009406,            0.009406
                   4,            0.070583,            0.051979,            0.026826,             0.61802,             0.38956,             0.42645,             0.23892,            0.065246,            0.073646,             0.01551,            0.009406,            0.009406,            0.009406
                   5,            0.069842,            0.051541,            0.026204,             0.62048,             0.39642,             0.43158,             0.24238,             0.06504,            0.073719,            0.015228,            0.009208,            0.009208,            0.009208
                   6,            0.069268,            0.051447,            0.025683,             0.62466,             0.40344,             0.43848,             0.24961,            0.064249,            0.073314,            0.015171,             0.00901,             0.00901,             0.00901
                   7,            0.068843,            0.050788,            0.025322,             0.63147,             0.40779,             0.44502,             0.25499,            0.063943,            0.072935,            0.014947,            0.008812,            0.008812,            0.008812
                   8,             0.06849,            0.051047,             0.02498,             0.65097,             0.41707,             0.45823,             0.26298,            0.063402,            0.072308,            0.014419,            0.008614,            0.008614,            0.008614
                   9,            0.068139,            0.050386,             0.02476,             0.65547,             0.42407,             0.46593,             0.26759,             0.06315,            0.071927,            0.014227,            0.008416,            0.008416,            0.008416
                  10,            0.067867,            0.050062,            0.024563,             0.65861,             0.42751,             0.47126,             0.27244,            0.062933,            0.071744,            0.014115,            0.008218,            0.008218,            0.008218
                  11,            0.067692,            0.049658,            0.024339,             0.66208,              0.4391,             0.47833,             0.27546,             0.06256,            0.071376,            0.013769,             0.00802,             0.00802,             0.00802
                  12,            0.067571,            0.050184,            0.024134,             0.67787,             0.43879,             0.48612,             0.28038,            0.062354,            0.071089,            0.013524,            0.007822,            0.007822,            0.007822
                  13,            0.067294,            0.049739,              0.0239,             0.67683,              0.4399,             0.48488,             0.27951,            0.062249,            0.071018,            0.013489,            0.007624,            0.007624,            0.007624
                  14,            0.067138,            0.049296,            0.023879,             0.67402,             0.44231,             0.48705,             0.28167,            0.062038,            0.071174,            0.013476,            0.007426,            0.007426,            0.007426
                  15,            0.066986,            0.049014,             0.02368,             0.68382,             0.44395,             0.49135,             0.28588,             0.06187,             0.07067,            0.013278,            0.007228,            0.007228,            0.007228
                  16,            0.066848,             0.04907,            0.023542,             0.68561,             0.45045,             0.49843,              0.2886,            0.061649,            0.070422,            0.013095,             0.00703,             0.00703,             0.00703
                  17,            0.066584,            0.049158,            0.023426,             0.68835,             0.44924,             0.49801,             0.28909,            0.061575,            0.070632,            0.013123,            0.006832,            0.006832,            0.006832
                  18,            0.066447,             0.04861,            0.023259,             0.69235,              0.4531,             0.50271,             0.29267,            0.061435,            0.070277,            0.012989,            0.006634,            0.006634,            0.006634
                  19,            0.066293,            0.048819,             0.02312,             0.69305,             0.45473,              0.5023,             0.29308,            0.061348,            0.070444,            0.013007,            0.006436,            0.006436,            0.006436
                  20,            0.066265,             0.04863,            0.023142,             0.68806,             0.45782,             0.50371,             0.29412,            0.061262,            0.070345,            0.012939,            0.006238,            0.006238,            0.006238
                  21,            0.065951,            0.048201,            0.022918,             0.68995,             0.46047,             0.50683,             0.29563,            0.061183,            0.070197,            0.012868,             0.00604,             0.00604,             0.00604
                  22,            0.065927,            0.048144,              0.0228,             0.69573,              0.4604,             0.50831,             0.29649,            0.061096,            0.070203,             0.01283,            0.005842,            0.005842,            0.005842
                  23,            0.065809,            0.048103,            0.022793,             0.69441,             0.46077,              0.5114,             0.29834,            0.061023,            0.070136,            0.012791,            0.005644,            0.005644,            0.005644
                  24,              0.0658,            0.047828,            0.022598,             0.69675,             0.46307,             0.51274,             0.29922,            0.060967,            0.070094,            0.012775,            0.005446,            0.005446,            0.005446
                  25,            0.065523,            0.047753,             0.02244,             0.69892,             0.46359,              0.5132,             0.30022,            0.060912,            0.070067,            0.012739,            0.005248,            0.005248,            0.005248
                  26,            0.065486,            0.047889,            0.022386,             0.69984,             0.46508,             0.51399,             0.30048,            0.060869,            0.070056,            0.012732,             0.00505,             0.00505,             0.00505
                  27,            0.065411,            0.047899,            0.022352,             0.69807,             0.46739,             0.51495,               0.301,            0.060835,            0.070064,            0.012725,            0.004852,            0.004852,            0.004852
                  28,             0.06516,            0.047413,            0.022204,             0.69811,             0.46895,             0.51565,             0.30155,            0.060802,            0.070052,            0.012708,            0.004654,            0.004654,            0.004654
                  29,            0.065053,            0.047436,            0.022122,             0.70109,             0.46838,             0.51634,             0.30201,            0.060762,            0.070012,            0.012693,            0.004456,            0.004456,            0.004456
                  30,            0.065084,            0.047289,            0.022093,             0.70058,             0.46846,             0.51686,             0.30251,            0.060729,            0.069978,            0.012676,            0.004258,            0.004258,            0.004258
                  31,            0.064876,            0.047086,            0.021969,             0.70307,             0.46841,             0.51721,             0.30269,            0.060698,            0.069966,            0.012668,             0.00406,             0.00406,             0.00406
                  32,            0.064866,            0.047259,            0.021803,             0.70421,             0.46841,             0.51772,              0.3033,             0.06067,            0.069938,             0.01265,            0.003862,            0.003862,            0.003862
                  33,            0.064693,            0.046954,            0.021713,             0.70597,             0.46888,             0.51837,             0.30378,            0.060644,            0.069911,            0.012631,            0.003664,            0.003664,            0.003664
                  34,             0.06453,            0.046841,            0.021636,             0.70664,             0.46929,             0.51903,             0.30404,            0.060619,            0.069901,             0.01262,            0.003466,            0.003466,            0.003466
                  35,            0.064525,            0.046899,            0.021551,             0.70732,             0.46962,             0.51937,             0.30444,            0.060596,            0.069893,             0.01261,            0.003268,            0.003268,            0.003268
                  36,            0.064333,            0.046771,            0.021376,             0.71034,             0.46903,             0.51986,             0.30471,            0.060576,             0.06989,            0.012602,             0.00307,             0.00307,             0.00307
                  37,            0.064307,            0.046447,            0.021338,             0.70919,             0.46988,             0.52019,             0.30523,            0.060554,            0.069886,            0.012592,            0.002872,            0.002872,            0.002872
                  38,            0.064105,            0.046325,            0.021219,             0.70971,             0.47026,             0.52051,             0.30581,            0.060535,            0.069883,            0.012584,            0.002674,            0.002674,            0.002674
                  39,            0.063876,            0.046041,            0.021031,             0.70943,              0.4704,             0.52099,             0.30605,            0.060518,            0.069889,            0.012576,            0.002476,            0.002476,            0.002476
                  40,            0.063692,            0.045601,            0.020898,             0.70835,             0.47126,             0.52152,             0.30618,            0.060502,            0.069903,            0.012571,            0.002278,            0.002278,            0.002278
                  41,            0.063627,             0.04561,            0.020864,             0.70739,             0.47159,             0.52206,             0.30676,            0.060482,            0.069899,             0.01256,             0.00208,             0.00208,             0.00208
                  42,            0.063461,             0.04578,            0.020686,             0.70755,             0.47229,             0.52228,             0.30706,            0.060464,            0.069896,            0.012551,            0.001882,            0.001882,            0.001882
                  43,            0.063365,            0.045266,            0.020573,             0.70991,             0.47247,             0.52286,             0.30753,            0.060448,            0.069902,            0.012543,            0.001684,            0.001684,            0.001684
                  44,            0.063213,            0.045625,            0.020451,             0.71059,              0.4722,             0.52322,             0.30798,            0.060434,             0.06992,            0.012537,            0.001486,            0.001486,            0.001486
                  45,            0.063031,             0.04509,            0.020354,             0.70991,             0.47254,             0.52345,             0.30841,            0.060421,            0.069941,            0.012535,            0.001288,            0.001288,            0.001288
                  46,            0.062833,             0.04481,            0.020259,             0.70943,             0.47287,             0.52374,             0.30856,            0.060412,            0.069976,            0.012534,             0.00109,             0.00109,             0.00109
                  47,            0.062748,            0.044431,            0.020114,             0.70762,             0.47416,             0.52409,             0.30874,            0.060402,                0.07,            0.012531,            0.000892,            0.000892,            0.000892
                  48,            0.062765,            0.044942,             0.01995,             0.70938,             0.47338,             0.52431,             0.30922,            0.060393,            0.070027,            0.012528,            0.000694,            0.000694,            0.000694
                  49,            0.062517,            0.044571,            0.019894,             0.70654,             0.47491,             0.52442,             0.30938,            0.060385,            0.070064,            0.012526,            0.000496,            0.000496,            0.000496
